level	pdf_page	section
4	906	B8-2-02, Special-Purpose Security Instruments (12/10/2025)
4	908	B8-2-03, Signature Requirements for Security Instruments (10/22/2013)
3	909	Chapter B8-3, Notes
4	910	B8-3-01, Notes for Conventional Mortgages (09/02/2020)
4	911	B8-3-02, Special Note Provisions and Language Requirements (06/03/2020)
4	912	B8-3-03, Signature Requirements for Notes (02/07/2024)
4	913	B8-3-04, Note Endorsement (10/02/2019)
3	915	Chapter B8-4, Riders and Addenda
4	915	B8-4-01, Riders and Addenda (06/05/2018)
3	918	Chapter B8-5, Special-Purpose Legal Documents
4	918	B8-5-01, General Information on Special-Purpose Legal Documents (05/01/2019)
4	919	B8-5-02, Inter Vivos Revocable Trust Mortgage Documentation and Signature Requirements (10/31/2017)
4	922	B8-5-03, HomeStyle Renovation Mortgage Documentation Requirements (06/05/2018)
4	923	B8-5-04, Sample Legal Documents (02/05/2025)
4	924	B8-5-05, Requirements for Use of a Power of Attorney (10/05/2022)
3	928	Chapter B8-6, Mortgage Assignments
4	928	B8-6-01, Authorized Use of Intervening and Blanket Assignments (05/04/2022)
3	930	Chapter B8-7, Mortgage Electronic Registration System (MERS)
4	930	B8-7-01, Mortgage Electronic Registration Systems (MERS), Inc. (05/01/2024)
3	934	Chapter B8-8, Sale of eMortgages to Fannie Mae
4	934	B8-8-01, General Information on eMortgages (11/05/2025)
4	937	B8-8-02, Requirements for Creating, Closing, and Correcting eNotes (12/13/2023)
1	940	Part C, Selling, Securitizing, and Delivering Loans
2	941	Subpart C1, General Information on Execution Options and Loan Delivery
3	941	Chapter C1-1, Execution Options Overview
4	941	C1-1-01, Execution Options (02/05/2025)
3	945	Chapter C1-2, Loan Delivery Overview
4	946	C1-2-01, General Information on Delivering Loan Data and Documents (05/01/2019)
4	947	C1-2-02, Loan Data and Documentation Delivery Requirements (10/04/2023)
4	950	C1-2-03, Ownership of Mortgage Loans Prior to Purchase or Securitization and Third-Party Security Interests (04/06/2022)
4	952	C1-2-04, Delivering eMortgages to Fannie Mae (12/13/2023)
4	955	C1-2-05, Bailee Letters (04/06/2022)
3	956	Chapter C1-3, Loan Remittance Types Overview
4	957	C1-3-01, General Information on Remittance Types (08/26/2014)
2	958	Subpart C2, Whole Loan Transactions
3	958	Chapter C2-1, Mandatory and Best Efforts Commitments to Sell Whole Loans
4	958	Section C2-1.1, Mandatory Commitments to Sell Whole Loans
5	958	C2-1.1-01, Mandatory Commitment Process (10/30/2009)
5	959	C2-1.1-02, General Information about Mandatory Commitment Pricing and Fees (06/07/2023)
5	962	C2-1.1-03, Mandatory Commitment Terms, Amounts, Periods and Other Requirements (07/05/2023)
5	964	C2-1.1-04, Mandatory Commitment Extensions and Pair-Offs (05/30/2017)
5	967	C2-1.1-05, Servicing Fees (05/01/2019)
5	968	C2-1.1-06, Accrued Interest Payments for Regularly Amortizing Mortgages (06/28/2011)
5	969	C2-1.1-07, Standard ARM and Converted ARM Resale Commitments (05/30/2017)
4	971	Section C2-1.2, Best Efforts Commitments to Sell Whole Loans
5	971	C2-1.2-01, Best Efforts Commitment Process (08/06/2025)
5	972	C2-1.2-02, Best Efforts Commitment Pricing, Periods, and Fees (03/03/2021)
5	973	C2-1.2-03, Best Efforts Commitment Terms, Amounts, and Other Requirements (03/03/2021)
4	975	Section C2-1.3, Servicing Execution Tool to Sell Whole Loans
5	975	C2-1.3-01, Servicing Marketplace (03/03/2021)
3	977	Chapter C2-2, Whole Loan Deliveries to and Purchasing by Fannie Mae
4	977	C2-2-01, General Requirements for Good Delivery of Whole Loans (08/07/2018)
4	980	C2-2-02, Documentation Requirements for Whole Loan Deliveries (05/01/2019)
4	982	C2-2-03, General Information on Whole Loan Purchasing Policies (05/04/2022)
4	984	C2-2-04, Timing of Distribution of Whole Loan Purchase Proceeds (05/04/2022)
4	985	C2-2-05, Whole Loan Purchasing Process (10/04/2023)
4	987	C2-2-06, Authorization to Transfer Funds (05/01/2024)
4	989	C2-2-07, Purchase Payee Codes (05/01/2024)
2	991	Subpart C3, Mortgage-Backed Securities (MBS)
3	991	Chapter C3-1, MBS Program Overview
4	991	C3-1-01, General Information About Fannie Mae’s MBS Program (10/06/2021)
4	995	C3-1-02, Preparing to Pool Loans into MBS (05/01/2019)
3	996	Chapter C3-2, MBS Securitization Process
4	996	C3-2-01, Determining Eligibility for Loans Pooled into MBS (09/07/2022)
4	1000	C3-2-02, Selecting a Servicing Option (04/01/2009)
4	1001	C3-2-03, MBS Remittance Type and Selecting a Remittance Cycle (10/25/2011)
4	1002	C3-2-04, Mandatory MBS Commitments (12/06/2016)
3	1003	Chapter C3-3, MBS Guaranty Fees and Guaranty Fee Buyups and Buydowns
4	1004	C3-3-01, Determining and Remitting Guaranty Fees (10/25/2011)
4	1005	C3-3-02, Accessing Buyup and Buydown Ratios and Calculating Payments or Charges (12/04/2019)
4	1007	C3-3-03, Buying Up and Buying Down the Guaranty Fee for MBS (05/07/2025)
3	1009	Chapter C3-4, Pooling Loans into Fixed-Rate MBS
4	1009	C3-4-01, Term-Related Fixed-Rate Mortgage Pooling Parameters (05/01/2019)
3	1011	Chapter C3-5, Pooling Loans into ARM MBS
4	1011	C3-5-01, Creating Weighted-Average ARM MBS (08/26/2014)
4	1012	C3-5-02, Calculating the Weighted-Average Pool Accrual Rates for ARM Flex Pools Using a Fixed MBS Margin (04/01/2009)
4	1015	C3-5-03, Calculating the Weighted-Average Pool Accrual Rates for ARM Flex Pools Using a Weighted-Average MBS Margin (04/01/2009)
4	1019	C3-5-04, Pooling ARMs with a Conversion Option (05/01/2019)
4	1020	C3-5-05, Commingling ARMs in MBS (02/23/2016)
3	1021	Chapter C3-6, Pooling Loans into Fannie Majors
4	1021	C3-6-01, Parameters for Pooling Loans Into Fannie Majors (08/05/2026)
3	1023	Chapter C3-7, Delivering and Trading MBS
4	1024	C3-7-01, Establishing an MBS Trading Account (10/06/2021)
4	1031	C3-7-02, Initiating an MBS Sale (07/07/2021)
4	1033	C3-7-03, Making Good Delivery (05/01/2019)
4	1037	C3-7-04, Delivering MBS Pool Data and Documents (04/01/2026)
4	1040	C3-7-05, Confirming Presettlement Information (04/01/2009)
4	1042	C3-7-06, Settling the Trade (05/05/2021)
4	1046	C3-7-07, Sale of Fannie Mae Securities to Third Parties (05/05/2021)
1	1049	Part D, Ensuring Quality Control (QC)
2	1050	Subpart D1, Lender QC Process
3	1050	Chapter D1-1, Lender Quality Control Process
4	1050	D1-1-01, Lender Quality Control Programs, Plans, and Processes (04/01/2026)
4	1056	D1-1-02, Lender Quality Control Staffing and Outsourcing of the Quality Control Process (04/01/2026)
4	1058	D1-1-03, Lender Quality Control Reporting (04/01/2026)
3	1059	Chapter D1-2, Lender Prefunding QC Mortgage Review
4	1060	D1-2-01, Lender Prefunding Quality Control Review Process (04/01/2026)
3	1062	Chapter D1-3, Lender Post-Closing QC Mortgage Review
4	1062	D1-3-01, Lender Post-Closing Quality Control Review Process (04/01/2026)
4	1065	D1-3-02, Lender Post-Closing Quality Control Review of Approval Conditions, Underwriting Decisions, Data, and Documentation (04/01/2026)
4	1069	D1-3-03, Lender Post-Closing Quality Control Reverifications (04/01/2026)
2	1073	Subpart D2, Fannie Mae QC Process
3	1074	Chapter D2-1, General Information on Fannie Mae QC Process
4	1074	D2-1-01, General Information on Fannie Mae QC Reviews (04/03/2019)
4	1075	D2-1-02, Fannie Mae QC File Request and Submission Requirements (03/06/2024)
4	1077	D2-1-03, Outcomes of Fannie Mae QC Reviews (11/03/2015)
4	1080	D2-1-04, Identifying and Remedying Origination Defects Under the Remedies Framework (08/30/2016)
1	1084	Part E, Quick Reference Materials
2	1085	Chapter E-1, Selling Guide Resources
3	1085	E-1-01, References to Fannie Mae's Website (06/04/2025)
3	1086	E-1-02, List of Contacts (02/04/2026)
3	1092	E-1-03, List of Lender Contracts (08/05/2020)
2	1094	Chapter E-2, Exhibits
3	1094	E-2-01, Required Custodial Documents (05/04/2022)
3	1097	E-2-02, Suggested Format for Phase I Environmental Hazard Assessments (06/04/2025)
3	1109	E-2-03, Revocable Trust Rider (Sample Language) (01/17/2013)
3	1110	E-2-04, Signature Requirements for Mortgages to Inter Vivos Revocable Trusts (08/05/2026)
3	1114	E-2-05, Servicing Marketplace — Mortgage Loan Servicing Purchase and Sale Agreement (12/15/2021)
3	1129	E-2-06, Correcting Errors in eNotes (12/13/2023)
3	1130	E-2-07, Description of eNote Header, Footer, and eNote Clause (12/13/2023)
2	1132	Chapter E-3, Acronyms and Glossary of Defined Terms
3	1132	E-3-01, Acronyms and Glossary of Defined Terms: A (09/03/2025)
3	1135	E-3-02, Acronyms and Glossary of Defined Terms: B (02/07/2024)
3	1137	E-3-03, Acronyms and Glossary of Defined Terms: C (04/22/2026)
3	1142	E-3-04, Acronyms and Glossary of Defined Terms: D (03/01/2023)
3	1145	E-3-05, Acronyms and Glossary of Defined Terms: E (12/14/2022)
3	1147	E-3-06, Acronyms and Glossary of Defined Terms: F (09/03/2025)
3	1151	E-3-07, Acronyms and Glossary of Defined Terms: G (06/04/2025)
3	1152	E-3-08, Acronyms and Glossary of Defined Terms: H (04/05/2023)
3	1154	E-3-09, Acronyms and Glossary of Defined Terms: I (02/04/2026)
3	1157	E-3-10, Acronyms and Glossary of Defined Terms: J (04/01/2009)
3	1157	E-3-11, Acronyms and Glossary of Defined Terms: K (12/14/2022)
3	1157	E-3-12, Acronyms and Glossary of Defined Terms: L (10/08/2025)
3	1160	E-3-13, Acronyms and Glossary of Defined Terms: M (11/06/2024)
3	1165	E-3-14, Acronyms and Glossary of Defined Terms: N (06/04/2025)
3	1166	E-3-15, Acronyms and Glossary of Defined Terms: O (11/10/2014)
3	1167	E-3-16, Acronyms and Glossary of Defined Terms: P (02/07/2024)
3	1171	E-3-17, Acronyms and Glossary of Defined Terms: Q (04/01/2009)
3	1172	E-3-18, Acronyms and Glossary of Defined Terms: R (05/06/2026)
3	1175	E-3-19, Acronyms and Glossary of Defined Terms: S (02/07/2024)
3	1180	E-3-20, Acronyms and Glossary of Defined Terms: T (02/07/2024)
3	1182	E-3-21, Acronyms and Glossary of Defined Terms: U (05/01/2019)
3	1183	E-3-22, Acronyms and Glossary of Defined Terms: V (09/03/2025)
3	1184	E-3-23, Acronyms and Glossary of Defined Terms: W (11/10/2019)
3	1184	E-3-24, Acronyms and Glossary of Defined Terms: X (04/01/2009)
3	1184	E-3-25, Acronyms and Glossary of Defined Terms: Y (05/30/2017)
3	1185	E-3-26, Acronyms and Glossary of Defined Terms: Z (04/01/2009)
