# GENERATED by scripts/branch-archive.cjs — do not hand-edit.
# Every branch on origin, and where its commits survive if the branch is deleted.
#
# Generated against origin/main = 0978288c
# 7 branches (excluding main) · 0 in-main · 6 pr-head · 0 orphan · 1 archive
#
# WHAT EACH BUCKET GUARANTEES
#   in-main  the tip is an ancestor of main. Deleting the branch removes a name, not a commit.
#   pr-head  the tip is a refs/pull/N/head. GitHub keeps those permanently, merged or closed.
#   orphan   was held by the branch name alone. Now also a parent of archive/2026-08-31-orphan-tips.
#
# 🚨 A BUCKET ANSWERS "ARE THE COMMITS RECOVERABLE", NOT "IS ANYONE USING THIS BRANCH".
# Nothing here can see that. On 2026-08-31 a peer session found five branches that are the
# outcome branch of a live Claude session — feat/landing-coach-first is named by 39 of them,
# and it sits in `pr-head` (PR #595, merged), the safest bucket there is. Deleting it loses
# no commit and still pulls the branch out from under every one of those sessions.
# Before ANY deletion pass, re-check live sessions — the set changes by the hour:
#   list_sessions -> session_context.outcomes[].git_repository.git_info.branches
# (NOT external_metadata.current_branches, which holds the repo name, not a branch.)
#
# Counting note, for anyone reconciling this against another survey: 48 backup/2026-08-20/*
# branches are `pr-head` here while a PR-state survey calls them "no PR ever". Both are right.
# A backup copy never had its OWN pull request, but it shares a tip sha with the branch that
# did, so its commits sit in that pull ref. 74 orphan + 48 such copies reconciles this file's
# 74 against a peer session's 125.
#
# A pr-head row records NO sha: its locator is the PR number, which is permanent, while the
# branch tip moves on every push. Freezing the tip there would drift this file forever — the
# sha is kept only where it IS the locator (orphan) or has stopped moving (in-main).
#   archive  the safety net itself. Never delete a branch in this bucket.
#
# TO RECOVER ANY ROW — both paths executed and verified on 2026-08-31 before this was committed:
#   orphan   git fetch origin archive/2026-08-31-orphan-tips && git checkout -b recovered <sha>
#            (proved: origin's archive commit carries 66 parents, 66/66 orphans reachable)
#   pr-head  git fetch origin refs/pull/<pr>/head && git checkout -b recovered FETCH_HEAD
#            (proved: PR #491, branch long deleted, recovered with 915 commits of history)
#   in-main  already in main; git show <sha>
#
# Tags would be the better idiom and this repo already uses archive/<branch-with-dashes>.
# This session's git proxy permits refs/heads/* and refuses refs/tags/* with HTTP 403, so the
# archive is a branch. From a machine with tag rights:
#   node scripts/branch-archive.cjs --create-tags && git push origin --tags
#
# Ancestry alone is NOT the test: this repo squash-merges, so a merged branch tip is not an
# ancestor of main. git branch --no-merged reported 134 where the true orphan count was 74.
#
branch	sha	tipDate	bucket	pr	archiveRef	subject
archive/2026-08-31-orphan-tips	96a51b10995a602a3124d77569c44354a88b8afb	2026-08-31	archive	-	-	archive(2026-08-31): 67 orphan commits, held so their branches can be deleted
claude/eager-hamilton-8bd0mk	-	-	pr-head	805	-	(open or closed PR — fetch refs/pull/805/head)
claude/keen-bell-gtvgzh	-	-	pr-head	839	-	(open or closed PR — fetch refs/pull/839/head)
claude/magical-wozniak-auw6fv	-	-	pr-head	820	-	(open or closed PR — fetch refs/pull/820/head)
codex/coordination-ledger	-	-	pr-head	810	-	(open or closed PR — fetch refs/pull/810/head)
dependabot/npm_and_yarn/minor-and-patch-a5c589b521	-	-	pr-head	844	-	(open or closed PR — fetch refs/pull/844/head)
dependabot/npm_and_yarn/vitest-5.0.0	-	-	pr-head	759	-	(open or closed PR — fetch refs/pull/759/head)
